block,vial,treatment,diet,time,censor,hours_til_death
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,0,120
b,39,E. faecalis,8%,13:17,1,24
b,39,E. faecalis,8%,13:17,1,24
b,39,E. faecalis,8%,13:17,1,24
b,39,E. faecalis,8%,13:17,1,24
b,39,E. faecalis,8%,13:17,1,24
b,39,E. faecalis,8%,13:17,1,24
b,39,E. faecalis,8%,13:17,1,48
b,39,E. faecalis,8%,13:17,0,120
b,39,E. faecalis,8%,13:17,0,120
b,39,E. faecalis,8%,13:17,0,120
b,40,E. faecalis,8%,13:10,1,24
b,40,E. faecalis,8%,13:10,1,24
b,40,E. faecalis,8%,13:10,1,24
b,40,E. faecalis,8%,13:10,1,24
b,40,E. faecalis,8%,13:10,1,24
b,40,E. faecalis,8%,13:10,1,24
b,40,E. faecalis,8%,13:10,0,120
b,40,E. faecalis,8%,13:10,0,120
b,40,E. faecalis,8%,13:10,0,120
b,40,E. faecalis,8%,13:10,0,120
b,41,PBS,16%,11:50,1,24
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,41,PBS,16%,11:50,0,120
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,24
b,42,E. faecalis,16%,13:59,1,72
b,42,E. faecalis,16%,13:59,0,120
b,42,E. faecalis,16%,13:59,0,120
b,43,E. faecalis,16%,13:55,1,24
b,43,E. faecalis,16%,13:55,1,24
b,43,E. faecalis,16%,13:55,1,24
b,43,E. faecalis,16%,13:55,1,24
b,43,E. faecalis,16%,13:55,0,120
b,43,E. faecalis,16%,13:55,0,120
b,43,E. faecalis,16%,13:55,0,120
b,43,E. faecalis,16%,13:55,0,120
b,43,E. faecalis,16%,13:55,0,120
b,43,E. faecalis,16%,13:55,0,120
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,1,24
b,44,E. faecalis,16%,13:49,0,120
b,44,E. faecalis,16%,13:49,0,120
b,45,PBS,24%,12:06,1,24
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,45,PBS,24%,12:06,0,120
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,24
b,46,E. faecalis,24%,14:00,1,48
b,46,E. faecalis,24%,14:00,0,120
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,1,24
b,47,E. faecalis,24%,14:08,0,120
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,1,24
b,48,E. faecalis,24%,14:05,0,120
b,48,E. faecalis,24%,14:05,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
