Block,Diet,Infection,Glucose,protein,glucose_std_2,glycogen,glycogen-standard,trehalose,trehalose-standard
E,16%,Providencia,7.839708561,11.85542169,0.66127623,3.177620121,0.268030966,0.850037581,0.071700324
E,16%,Providencia,7.506375228,19.1510658,0.391956004,0.850037581,0.044385915,1.08395021,0.056599994
E,16%,Providencia,6.765027322,10.88785913,0.621336779,1.08395021,0.099555863,1.295426131,0.118978958
E,16%,Providencia,8.120218579,8.563484708,0.948237646,1.295426131,0.151273246,2.969473318,0.346759925
E,16%,Serratia,6.200364299,28.18164968,0.220014242,2.969473318,0.105369038,7.557979065,0.268187957
E,16%,Serratia,5.599271403,30.639481,0.18274694,7.557979065,0.246674513,5.056158683,0.165021029
E,16%,Serratia,2.273224044,38.23540315,0.059453382,5.056158683,0.132237619,1.215010358,0.031777103
E,16%,Serratia,5.176684882,42.27247451,0.122459944,1.215010358,0.028742352,4.778637555,0.113043715
E,16%,Serratia,4.346083789,38.00185357,0.114365048,4.778637555,0.125747486,2.380237951,0.062634786
E,16%,Serratia,5.234972678,39.62557924,0.132110944,2.380237951,0.060068218,3.008759097,0.075929719
E,16%,Serratia,6.774134791,32.41890639,0.208956302,3.008759097,0.092808778,4.801050432,0.148094151
E,16%,Serratia,11.42440801,38.3021316,0.298270815,4.801050432,0.125346821,1.670450806,0.043612476
F,2%,Naive,11.69674556,27.97021277,0.418185791,7.082628497,0.253220401,1.670450806,0.059722492
F,2%,Naive,13.75,30.26808511,0.454273865,10.9713728,0.362473304,1.08957688,0.035997549
F,2%,Naive,12.1908284,27.65106383,0.44088099,8.933636955,0.323084747,0.27722557,0.010025855
F,2%,Naive,13.54881657,25.54468085,0.530396784,9.521145088,0.372725153,0.286416433,0.011212371
F,2%,Naive,10.55769231,29.69361702,0.355554269,6.597918022,0.222199876,0.88323821,0.029745053
F,2%,Naive,10.50295858,30.94468085,0.33941079,5.998048146,0.193831314,0.655151611,0.021171704
F,2%,Naive,9.375739645,28.12340426,0.333378547,6.260897853,0.222622332,0.145090831,0.005159078
F,2%,Naive,11.72485207,27.86808511,0.420726865,7.962914769,0.285735986,0.314760603,0.011294662
F,2%,Providencia,11.2204142,26.94893617,0.416358335,5.310344828,0.197052113,3.133511477,0.116275888
F,2%,Providencia,10.31804734,26.79574468,0.385062907,3.752765127,0.140050787,2.83287379,0.105721032
F,2%,Serratia,14.55374753,38.08510638,0.382137505,7.106918239,0.186606233,1.29850639,0.034094861
F,2%,Serratia,16.21794872,38.17021277,0.424884944,8.520928215,0.22323502,0.561185432,0.014702182
F,2%,Serratia,11.11193294,46.63829787,0.238257686,7.180654956,0.153964773,0.962224794,0.020631645
F,2%,Serratia,12.60848126,42.19148936,0.298839445,9.5011928,0.225192164,0.289973638,0.006872799
F,2%,Serratia,14.83234714,52.93617021,0.280193053,6.965950987,0.131591518,0.916068126,0.017305145
F,2%,Serratia,15.11341223,53.23404255,0.283905026,9.389503362,0.176381558,0.827416006,0.015542987
F,2%,Serratia,15.42899408,53.70212766,0.287306942,7.78356105,0.144939528,0.888987227,0.016554041
F,2%,Serratia,14.91370809,47.10638298,0.316596332,7.860550857,0.166868062,0.118134746,0.002507829
F,16%,Naive,17.3091716,33.31914894,0.51949621,10.11841249,0.303681601,1.310463968,0.039330656
F,16%,Naive,14.38461538,26.09361702,0.551269507,7.280416396,0.279011392,2.800098717,0.107309719
F,16%,Naive,16.4704142,32.02978723,0.51422178,9.696161353,0.302723252,3.156959526,0.098563237
F,16%,Naive,17.46153846,28.55744681,0.611453068,9.044892648,0.316726236,3.975814413,0.139221634
F,16%,Naive,20.80325444,33.75319149,0.616334442,10.72023422,0.317606536,2.437021782,0.072201225
F,16%,Naive,17.74408284,26.73191489,0.663778966,10.99804815,0.411420139,1.858888095,0.069538157
F,16%,Naive,17.18639053,28.41702128,0.60479212,12.20559532,0.429517056,3.478480898,0.122408357
F,16%,Providencia,14.7614645,27.82978723,0.530419596,8.142485361,0.292581661,3.451271403,0.124013575
F,16%,Providencia,14.57100592,27.71808511,0.525685878,7.784645413,0.280850765,2.795334975,0.100848777
F,16%,Serratia,14.71449704,26.41276596,0.557097922,7.154196487,0.270861314,1.656694769,0.062723259
F,16%,Serratia,12.19526627,27.03829787,0.45103676,7.548471047,0.279177006,1.289241773,0.047682061
F,16%,Serratia,12.01775148,26.14468085,0.459663346,6.881587508,0.263211762,0.736993793,0.028189053
F,16%,Serratia,12.68343195,28.68510638,0.442160882,7.170461939,0.2499716,1.449257356,0.05052299
F,16%,Serratia,11.53106509,28.31489362,0.407243808,5.975927131,0.211052431,0.539206787,0.019043221
F,16%,Serratia,11.5147929,26.85957447,0.428703475,5.974625895,0.222439335,1.483711747,0.055239585
F,16%,Serratia,11.40384615,24.94468085,0.457165446,7.072218608,0.283516099,0.514705382,0.020633873
